OBJECTID,Name,LAT_DECIMAL,LON_DECIMAL,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT_2019,AADT_2020
0,3830,31120,36.33,-114.92,26000.0,24000.0,24000.0,25000.0,27000.0,26000.0,25000.0,24500.0,27000.0,29000.0,30000.0,30500.0,31500,28900
1,3832,31210,36.15,-115.17,264000.0,263000.0,233000.0,254000.0,260000.0,260000.0,261000.0,260000.0,260000.0,260000.0,278000.0,281000.0,288000,201000
2,3833,31230,36.21,-115.13,118000.0,115000.0,112000.0,125000.0,125000.0,126000.0,126000.0,132000.0,142000.0,145000.0,140000.0,131000.0,148000,133000
3,3834,31250,36.02,-115.11,128000.0,126000.0,124000.0,122000.0,121000.0,121000.0,122000.0,128000.0,135000.0,139000.0,144000.0,146000.0,148000,127000
4,3835,32120,36.32,-115.31,11000.0,12000.0,12300.0,12400.0,12500.0,12200.0,12300.0,12500.0,13300.0,14200.0,14500.0,14500.0,15300,20900
5,3836,32220,36.17,-115.22,180000.0,200000.0,194000.0,198000.0,196000.0,198000.0,205000.0,211000.0,218500.0,221000.0,213000.0,212000.0,230000,200000
6,3837,32240,36.15,-115.07,42000.0,42000.0,42000.0,41000.0,41000.0,38000.0,38000.0,41500.0,39500.0,39000.0,41000.0,42000.0,42000,37000
7,3838,33120,36.07,-115.14,41000.0,40000.0,38000.0,37500.0,38500.0,40000.0,39500.0,40500.0,37500.0,39000.0,45000.0,46000.0,46000,35000
8,3840,33150,35.97,-114.88,35000.0,34000.0,34000.0,34000.0,36000.0,36000.0,36000.0,37000.0,39500.0,41000.0,41500.0,38000.0,26900,23200
9,3843,33190,36.22,-115.21,32000.0,29000.0,27000.0,26000.0,27100.0,27300.0,25600.0,25100.0,23000.0,24100.0,25600.0,25800.0,26300,22200
10,3844,33200,36.1,-114.9,2700.0,2500.0,2500.0,2300.0,2200.0,2200.0,2100.0,2150.0,2050.0,2100.0,2400.0,2400.0,2500,2500
11,3845,35210,36.16,-115.19,42000.0,38000.0,38500.0,36500.0,35500.0,33000.0,32000.0,32000.0,32000.0,33000.0,34000.0,31000.0,33000,26200
12,3846,35220,36.01,-114.78,13000.0,13000.0,13400.0,13700.0,16700.0,16400.0,16600.0,16800.0,18300.0,19800.0,20000.0,15400.0,5100,3350
13,3847,35230,36.16,-115.12,36000.0,35000.0,34500.0,30500.0,31000.0,31000.0,31000.0,31000.0,29000.0,32000.0,32000.0,35000.0,33500,30000
14,3848,35240,36.2,-115.22,17000.0,16000.0,15500.0,15500.0,14300.0,14000.0,13400.0,13900.0,14600.0,14000.0,15100.0,15400.0,15550,11900
15,3849,35250,36.12,-115.21,22593.11827956989,21855.824493731918,21287.765151515152,22706.720484359234,22491.01609657948,22239.751243781095,21396.43059490085,21439.32594644506,51500.0,51000.0,54000.0,56000.0,56000,39000
16,3851,35270,36.17,-115.34,51000.0,46000.0,46000.0,60000.0,64500.0,71000.0,77000.0,81000.0,91000.0,97000.0,102000.0,114000.0,112000,88500
17,3852,35310,36.1,-115.13,53000.0,50000.0,48000.0,47000.0,46000.0,46000.0,44500.0,44000.0,44000.0,40000.0,43000.0,45000.0,40500,36500
18,3853,35320,36.29,-115.28,41000.0,46000.0,45000.0,44500.0,43000.0,43000.0,46000.0,48000.0,48000.0,52000.0,54000.0,53000.0,55000,46500
19,3854,35330,36.23,-115.07,0.0,13000.0,12000.0,10000.0,9700.0,9500.0,8800.0,8700.0,9500.0,8500.0,8700.0,8400.0,8950,10100
20,3855,35340,36.03,-115.18,91000.0,97000.0,102000.0,104000.0,98000.0,105000.0,109000.0,114000.0,124000.0,131000.0,140000.0,140000.0,143000,116000
21,3857,35360,35.91,-115.21,46000.0,42000.0,44500.0,45000.0,44500.0,45000.0,46000.0,46000.0,49000.0,50000.0,49000.0,49000.0,48000,41000
22,3858,35370,36.03,-115.04,112000.0,113000.0,114000.0,112000.0,113000.0,114000.0,116000.0,120000.0,128000.0,136000.0,140000.0,146000.0,143000,121000
23,3913,35300,36.24,-115.12,45000.0,40000.0,42000.0,22706.720484359234,22491.01609657948,39000.0,42000.0,42000.0,46000.0,47000.0,46000.0,44000.0,42000,38000
24,3914,32230,36.08,-115.04,22593.11827956989,21855.824493731918,21287.765151515152,22706.720484359234,110000.0,108000.0,109000.0,112000.0,118000.0,125000.0,127000.0,131000.0,134000,115000
25,3917,35400,35.94,-114.91,22593.11827956989,21855.824493731918,21287.765151515152,22706.720484359234,22491.01609657948,22239.751243781095,21396.43059490085,7000.0,7400.0,8200.0,7900.0,8100.0,8400,8000
26,3919,35380,36.26,-115.6,0.0,0.0,1700.0,1800.0,1700.0,1600.0,1600.0,1750.0,1900.0,2100.0,2000.0,2100.0,2300,2650
27,3921,35390,36.28,-115.59,0.0,0.0,700.0,750.0,680.0,640.0,640.0,750.0,800.0,830.0,820.0,830.0,830,1000
28,3936,31104,36.09,-115.21,31000.0,28000.0,29000.0,29000.0,32000.0,29000.0,29000.0,30000.0,29500.0,30000.0,32000.0,34500.0,36500,23500
29,3937,31106,36.11,-115.09,9400.0,9200.0,8000.0,7700.0,8200.0,7300.0,7700.0,8400.0,9100.0,9300.0,11000.0,10200.0,10300,7300
30,3938,30819,36.09,-115.07,120000.0,117000.0,114000.0,111000.0,112000.0,109000.0,109000.0,110000.0,121000.0,125000.0,133000.0,139000.0,137000,117000
31,3939,30832,36.03,-115.01,11000.0,11000.0,10000.0,10000.0,10000.0,9600.0,9000.0,8700.0,8700.0,9200.0,9000.0,9300.0,9550,8150
32,3940,30853,36.18,-115.24,8400.0,8400.0,9900.0,10000.0,10000.0,10000.0,10500.0,11000.0,11500.0,11000.0,11000.0,10700.0,12000,11100
33,3941,30880,35.99,-114.93,890.0,740.0,700.0,830.0,850.0,850.0,850.0,800.0,900.0,800.0,860.0,940.0,970,800
34,3942,31401,36.28,-115.27,4700.0,5500.0,5900.0,5900.0,5500.0,6900.0,7300.0,7500.0,7600.0,7800.0,8400.0,8700.0,9150,8250
35,3953,30595,36.22,-115.23,11000.0,10000.0,9700.0,9000.0,8700.0,7900.0,7600.0,7800.0,7200.0,7800.0,8900.0,9200.0,10400,6850
36,3954,30614,36.15,-115.17,22000.0,23000.0,22000.0,18000.0,18000.0,20000.0,19000.0,21000.0,21000.0,23000.0,24100.0,24200.0,21800,14800
37,3955,30615,36.19,-115.19,50000.0,50000.0,49000.0,46000.0,47000.0,45000.0,44000.0,43000.0,40500.0,42000.0,43500.0,43500.0,40500,34000
38,3956,30616,36.2,-115.2,46000.0,46000.0,43000.0,41000.0,42000.0,41000.0,40500.0,39000.0,36000.0,38000.0,40000.0,38000.0,37500,34000
39,3957,30617,36.2,-115.2,43000.0,42000.0,40000.0,37000.0,38000.0,38000.0,37000.0,36000.0,32000.0,35000.0,36000.0,34500.0,33500,27600
40,3958,30590,36.16,-115.22,21000.0,26000.0,30000.0,22000.0,25000.0,25000.0,25000.0,25500.0,30500.0,31000.0,33000.0,34000.0,35500,23500
41,3960,30575,36.11,-115.19,87000.0,80000.0,72000.0,65000.0,62000.0,61000.0,68000.0,70000.0,75000.0,72000.0,78000.0,73500.0,91500,82000
42,3961,30576,36.11,-115.16,63000.0,63000.0,58000.0,51000.0,57000.0,54000.0,48000.0,50500.0,51500.0,53000.0,52000.0,54000.0,56500,51000
43,3981,31565,36.13,-115.32,22593.11827956989,21855.824493731918,21287.765151515152,22706.720484359234,22491.01609657948,22239.751243781095,21396.43059490085,15000.0,15000.0,18000.0,18000.0,19700.0,21000,17100
44,4020,30763,36.08,-115.1,32000.0,27000.0,29000.0,26000.0,28000.0,22500.0,23500.0,23500.0,23000.0,22000.0,24000.0,25800.0,27100,21800
