OBJECTID,Name,LOCATION_D,STREET_FRO,STREET_TO,LATITUDE,LONGITUDE,LAT_DECIMAL,LON_DECIMAL,ROUTE_NAME,StationType,ROUTE_ID,GlobalID,Visible,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT_2019,Shape,AADT_2020,HourlyLabel,HourlyLink,ATRLabel,ATRLink,WeeklyLabel,WeeklyLink,PermanentDivider,JanLabel,FebLabel,MarLabel,AprLabel,MayLabel,JunLabel,JulLabel,AugLabel,SepLabel,OctLabel,NovLabel,DecLabel,JanLink,FebLink,MarLink,AprLink,MayLink,JunLink,JulLink,AugLink,SepLink,OctLink,NovLink,DecLink,MonthlyLabel
3830,0031120,1.5 mi N of SR604 (Apex Intch 'Exit 58'),Apex Intch 'Exit 58',US-93 Intch 'Exit 64',,,36.33,-114.92,IR15,Permanent,244,{0F85EBA2-674C-4594-961F-7AC247DBEDE1},Y,"26,000.00","24,000.00","24,000","25,000","27,000","26,000","25,000","24,500","27,000","29,000","30,000","30,500","31,500",,"28,900",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0031120.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0031120.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0031120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0031120.pdf,Monthly
3832,0031210,.2 mi N of the Sahara Intch 'Exit 40',Sahara Intch 'Exit 40',Charleston Intch 'Exit 41',,,36.15,-115.17,IR15,Permanent,244,{E19B8D27-57DD-4D6B-B89F-FA79D15B8FCF},Y,"264,000.00","263,000.00","233,000","254,000","260,000","260,000","261,000","260,000","260,000","260,000","278,000","281,000","288,000",,"201,000",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0031210.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0031210.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0031210.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0031210.pdf,Monthly
3833,0031230,.7 mi N of SR147 Lake Mead Intch 'Exit 45',Lake Mead Intch 'Exit 45',Cheyenne Intch 'Exit 46',,,36.21,-115.13,IR15,Permanent,244,{05EB3700-7E7C-41C5-B6E9-432636F1E1B4},Y,"118,000.00","115,000.00","112,000","125,000","125,000","126,000","126,000","132,000","142,000","145,000","140,000","131,000","148,000",,"133,000",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0031230.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0031230.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0031230.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0031230.pdf,Monthly
3834,0031250,.2 mi E of the Eastern Intch 'Exit 7',Peco Intch,Eastern Intch,,,36.02,-115.11,IR215,Permanent,246,{7374E7A7-E815-4C59-A672-0CC6AE27D612},Y,"128,000.00","126,000.00","124,000","122,000","121,000","121,000","122,000","128,000","135,000","139,000","144,000","146,000","148,000",,"127,000",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0031250.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0031250.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0031250.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0031250.pdf,Monthly
3835,0032120,.5 mi S of SR157 Kyle Canyon Rd Intch,Durango Dr Intch,SR157,,,36.32,-115.31,US95,Permanent,265,{A8BCFE27-D984-4AFD-B9BB-B37E40490757},Y,"11,000.00","12,000.00","12,300","12,400","12,500","12,200","12,300","12,500","13,300","14,200","14,500","14,500","15,300",,"20,900",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0032120.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0032120.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0032120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0032120.pdf,Monthly
3836,0032220,.2 mi S of SR596 (Jones Blvd),Decatur Bl Intch.,Jones Bl Intch.,,,36.17,-115.22,US95,Permanent,265,{63537DFC-6643-487F-AFF2-D1CEA2BC49C5},Y,"180,000.00","200,000.00","194,000","198,000","196,000","198,000","205,000","211,000","218,500","221,000","213,000","212,000","230,000",,"200,000",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0032220.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0032220.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0032220.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0032220.pdf,Monthly
3837,0032240,85ft S of New World Ave,SR589,SR159,,,36.15,-115.07,SR612,Permanent,174,{20B826EB-695E-4CA0-8BD4-580AC344BCD5},Y,"42,000.00","42,000.00","42,000","41,000","41,000","38,000","38,000","41,500","39,500","39,000","41,000","42,000","42,000",,"37,000",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0032240.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0032240.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0032240.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0032240.pdf,Monthly
3838,0033120,680ft E of Paradise Rd,Paradise Rd,Eastern Ave,,,36.07,-115.14,SR562,Permanent,153,{5A086238-D87D-4ABA-8188-6A86CC40B02F},Y,"41,000.00","40,000.00","38,000","37,500","38,500","40,000","39,500","40,500","37,500","39,000","45,000","46,000","46,000",,"35,000",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0033120.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0033120.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0033120.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0033120.pdf,Monthly
3840,0033150,.75 mi S of US95,West Urban limits.,US95,,,35.97,-114.88,US93,Permanent,263,{B67F9B12-FB14-4776-8EFB-498A86B0A0AC},Y,"35,000.00","34,000.00","34,000","34,000","36,000","36,000","36,000","37,000","39,500","41,000","41,500","38,000","26,900",,"23,200",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0033150.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0033150.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0033150.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0033150.pdf,Monthly
3843,0033190,245ft N of SR574 (Cheyenne Ave),SR574,Jones Blvd,,,36.22,-115.21,SR599,Permanent,167,{11328283-7924-4042-810B-A3F89E8C0B68},Y,"32,000.00","29,000.00","27,000","26,000","27,100","27,300","25,600","25,100","23,000","24,100","25,600","25,800","26,300",,"22,200",,,ATR,https://gis.nevadadot.com/TrafficInformation/ATR/AADT%20HISTORY/0033190.pdf,Weekly,https://gis.nevadadot.com/TrafficInformation/ATR/ANN%20HOURLY%20TRINA/0033190.pdf,|,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JAN/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/FEB/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAR/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/APR/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/MAY/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUN/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/JUL/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/AUG/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/SEP/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/OCT/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/NOV/0033190.pdf,https://gis.nevadadot.com/TrafficInformation/ATR/CALENDAR/DEC/0033190.pdf,Monthly
