OBJECTID,Name,LAT_DECIMAL,LON_DECIMAL,AADT_2007,AADT_2008,AADT_2009,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT_2019,AADT_2020
0,3830,31120,36.33,-114.92,"26,000.00","24,000.00","24,000","25,000","27,000","26,000","25,000","24,500","27,000","29,000","30,000","30,500","31,500","28,900"
1,3832,31210,36.15,-115.17,"264,000.00","263,000.00","233,000","254,000","260,000","260,000","261,000","260,000","260,000","260,000","278,000","281,000","288,000","201,000"
2,3833,31230,36.21,-115.13,"118,000.00","115,000.00","112,000","125,000","125,000","126,000","126,000","132,000","142,000","145,000","140,000","131,000","148,000","133,000"
3,3834,31250,36.02,-115.11,"128,000.00","126,000.00","124,000","122,000","121,000","121,000","122,000","128,000","135,000","139,000","144,000","146,000","148,000","127,000"
4,3835,32120,36.32,-115.31,"11,000.00","12,000.00","12,300","12,400","12,500","12,200","12,300","12,500","13,300","14,200","14,500","14,500","15,300","20,900"
5,3836,32220,36.17,-115.22,"180,000.00","200,000.00","194,000","198,000","196,000","198,000","205,000","211,000","218,500","221,000","213,000","212,000","230,000","200,000"
6,3837,32240,36.15,-115.07,"42,000.00","42,000.00","42,000","41,000","41,000","38,000","38,000","41,500","39,500","39,000","41,000","42,000","42,000","37,000"
7,3838,33120,36.07,-115.14,"41,000.00","40,000.00","38,000","37,500","38,500","40,000","39,500","40,500","37,500","39,000","45,000","46,000","46,000","35,000"
8,3840,33150,35.97,-114.88,"35,000.00","34,000.00","34,000","34,000","36,000","36,000","36,000","37,000","39,500","41,000","41,500","38,000","26,900","23,200"
9,3843,33190,36.22,-115.21,"32,000.00","29,000.00","27,000","26,000","27,100","27,300","25,600","25,100","23,000","24,100","25,600","25,800","26,300","22,200"
10,3844,33200,36.1,-114.9,"2,700.00","2,500.00","2,500","2,300","2,200","2,200","2,100","2,150","2,050","2,100","2,400","2,400","2,500","2,500"
11,3845,35210,36.16,-115.19,"42,000.00","38,000.00","38,500","36,500","35,500","33,000","32,000","32,000","32,000","33,000","34,000","31,000","33,000","26,200"
12,3846,35220,36.01,-114.78,"13,000.00","13,000.00","13,400","13,700","16,700","16,400","16,600","16,800","18,300","19,800","20,000","15,400","5,100","3,350"
13,3847,35230,36.16,-115.12,"36,000.00","35,000.00","34,500","30,500","31,000","31,000","31,000","31,000","29,000","32,000","32,000","35,000","33,500","30,000"
14,3848,35240,36.2,-115.22,"17,000.00","16,000.00","15,500","15,500","14,300","14,000","13,400","13,900","14,600","14,000","15,100","15,400","15,550","11,900"
15,3849,35250,36.12,-115.21,,,,,,,,,"51,500","51,000","54,000","56,000","56,000","39,000"
16,3851,35270,36.17,-115.34,"51,000.00","46,000.00","46,000","60,000","64,500","71,000","77,000","81,000","91,000","97,000","102,000","114,000","112,000","88,500"
17,3852,35310,36.1,-115.13,"53,000.00","50,000.00","48,000","47,000","46,000","46,000","44,500","44,000","44,000","40,000","43,000","45,000","40,500","36,500"
18,3853,35320,36.29,-115.28,"41,000.00","46,000.00","45,000","44,500","43,000","43,000","46,000","48,000","48,000","52,000","54,000","53,000","55,000","46,500"
19,3854,35330,36.23,-115.07,0.00,"13,000.00","12,000","10,000","9,700","9,500","8,800","8,700","9,500","8,500","8,700","8,400","8,950","10,100"
20,3855,35340,36.03,-115.18,"91,000.00","97,000.00","102,000","104,000","98,000","105,000","109,000","114,000","124,000","131,000","140,000","140,000","143,000","116,000"
21,3857,35360,35.91,-115.21,"46,000.00","42,000.00","44,500","45,000","44,500","45,000","46,000","46,000","49,000","50,000","49,000","49,000","48,000","41,000"
22,3858,35370,36.03,-115.04,"112,000.00","113,000.00","114,000","112,000","113,000","114,000","116,000","120,000","128,000","136,000","140,000","146,000","143,000","121,000"
23,3913,35300,36.24,-115.12,"45,000.00","40,000.00","42,000",,,"39,000","42,000","42,000","46,000","47,000","46,000","44,000","42,000","38,000"
24,3914,32230,36.08,-115.04,,,,,"110,000","108,000","109,000","112,000","118,000","125,000","127,000","131,000","134,000","115,000"
25,3917,35400,35.94,-114.91,,,,,,,,"7,000","7,400","8,200","7,900","8,100","8,400","8,000"
26,3919,35380,36.26,-115.6,0.00,0.00,"1,700","1,800","1,700","1,600","1,600","1,750","1,900","2,100","2,000","2,100","2,300","2,650"
27,3921,35390,36.28,-115.59,0.00,0.00,700,750,680,640,640,750,800,830,820,830,830,"1,000"
28,3936,31104,36.09,-115.21,"31,000.00","28,000.00","29,000","29,000","32,000","29,000","29,000","30,000","29,500","30,000","32,000","34,500","36,500","23,500"
29,3937,31106,36.11,-115.09,"9,400.00","9,200.00","8,000","7,700","8,200","7,300","7,700","8,400","9,100","9,300","11,000","10,200","10,300","7,300"
30,3938,30819,36.09,-115.07,"120,000.00","117,000.00","114,000","111,000","112,000","109,000","109,000","110,000","121,000","125,000","133,000","139,000","137,000","117,000"
31,3939,30832,36.03,-115.01,"11,000.00","11,000.00","10,000","10,000","10,000","9,600","9,000","8,700","8,700","9,200","9,000","9,300","9,550","8,150"
32,3940,30853,36.18,-115.24,"8,400.00","8,400.00","9,900","10,000","10,000","10,000","10,500","11,000","11,500","11,000","11,000","10,700","12,000","11,100"
33,3941,30880,35.99,-114.93,890.00,740.00,700,830,850,850,850,800,900,800,860,940,970,800
34,3942,31401,36.28,-115.27,"4,700.00","5,500.00","5,900","5,900","5,500","6,900","7,300","7,500","7,600","7,800","8,400","8,700","9,150","8,250"
